MR1
ID,Output,MTG1,MTG2,MTG3,MTG4,MTG5
M1,SO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
,FO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
M2,SO,"[2, 9, 1, 8, 3, 5]","[4, 2, 4, 2, 4]","[-2, 0, 8, -1, 5, -3]","[1, 7, 12, 3, 15, 5, 10]","[1, 2, 3, 4, 5, 6]"
,FO,"[5, 3, 8, 1, 9, 2]","[4, 2, 4, 2, 4]","[-3, 5, -1, 8, 0, -2]","[10, 5, 15, 3, 12, 7, 1]","[6, 5, 4, 3, 2, 1]"
M3,SO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
,FO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
M4,SO,"[3, 1, 2, 5, 8, 9]","[4, 2, 2, 4, 4]","[-3, 0, -1, 8, 5, -2]","[5, 3, 1, 7, 10, 15, 12]","[5, 4, 3, 2, 1, 6]"
,FO,"[2, 1, 5, 3, 8, 9]","[4, 2, 2, 4, 4]","[0, -2, -1, 5, -3, 8]","[1, 3, 5, 10, 7, 12, 15]","[1, 2, 5, 3, 4, 6]"
M5,SO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
,FO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
M6,SO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
,FO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
